x,y,x_vel,y_vel
0.0,0.0,0.0,0.0
-0.009217221481507857,-0.0009065933422573777,-1.8434442963015716,-0.18131866845147554
-0.018434903847133997,-0.0018132320164484651,-1.843536473125228,-0.18132773483821746
-0.02765304711992378,-0.0027199160248399723,-1.8436286545579559,-0.18133680167830138
-0.03687165132292371,-0.003626645369698722,-1.8437208405999859,-0.18134586897174998
-0.04609071647918145,-0.004533420053291652,-1.8438130312515484,-0.1813549367185859
-0.055310242611745816,-0.005440240077885811,-1.843905226512874,-0.18136400491883184
-0.06453022718523654,-0.006347105445748364,-1.843996914698145,-0.18137307357251045
-0.07375066983760786,-0.007254016159146586,-1.8440885304742645,-0.18138214267964442
-0.08297157022363327,-0.008160972220347867,-1.8441800772050825,-0.18139121224025642
-0.09219292802259713,-0.009067973631619713,-1.8442715597927701,-0.18140028225436913
-0.10141474294720448,-0.009975020395229739,-1.8443629849214729,-0.18140935272200523
-0.11063701475156515,-0.010882112513445676,-1.844454360872132,-0.1814184236431874
-0.11985974323804655,-0.011789249988535368,-1.84454569729628,-0.18142749501793828
-0.12908292826282142,-0.012696432822766772,-1.8446370049549756,-0.1814365668462806
-0.13830656973997107,-0.013603661018407957,-1.8447282954299298,-0.181445639128237
-0.1475306676440439,-0.014510934577727109,-1.8448195808145638,-0.1814547118638302
-0.15675522201101008,-0.015418253502992522,-1.8449108733932356,-0.18146378505308286
-0.16598023293759573,-0.01632561779647261,-1.84500218531713,-0.18147285869601765
-0.17520570057902252,-0.017233027460435896,-1.8450935282853564,-0.18148193279265729
-0.1844316251452206,-0.018140482497151018,-1.8451849132396174,-0.18149100734302442
-0.1936580068956226,-0.019047982908886728,-1.8452763500804013,-0.1815000823471418
-0.20288484613268287,-0.019955528697911888,-1.8453678474120576,-0.18150915780503205
-0.21211214319429939,-0.02086311986649548,-1.845459412323305,-0.18151823371671788
-0.22133989844534316,-0.021770756416906588,-1.845551050208757,-0.181527310082222
-0.2305681122685229,-0.022678438351414424,-1.8456427646359483,-0.1815363869015671
-0.23979678505835483,-0.023586165672288304,-1.8457345579663895,-0.18154546417477582
-0.24902591930489912,-0.02449393838179766,-1.845826849308855,-0.18155454190187093
-0.25825551503122973,-0.025401756482212035,-1.8459191452661183,-0.18156362008287508
-0.2674855722604218,-0.02630961997580109,-1.8460114458384103,-0.18157269871781095
-0.2767160910155516,-0.027217528864834594,-1.8461037510259615,-0.1815817778067013
-0.28594707131969666,-0.028125483151582437,-1.846196060829003,-0.18159085734956876
-0.29517851319593547,-0.02903348283831462,-1.8462883752477652,-0.1815999373464361
-0.30441041666734786,-0.02994152792730125,-1.8463806942824794,-0.18160901779732597
-0.31364278175701477,-0.030849618420812554,-1.8464730179333761,-0.1816180987022611
-0.3228756084880182,-0.031757754321118874,-1.8465653462006861,-0.18162718006126416
-0.3321088968834414,-0.03266593563049066,-1.8466576790846403,-0.18163626187435788
-0.3413426469663688,-0.033574162351198485,-1.8467500165854696,-0.18164534414156497
-0.3505768587598858,-0.034482434485513025,-1.8468423587034046,-0.1816544268629081
-0.35981152940336586,-0.035390752035705075,-1.8469341286960061,-0.18166351003841003
-0.36904665852564406,-0.03629911500404554,-1.8470258244556343,-0.18167259366809344
-0.3782822457793151,-0.03720752339280545,-1.8471174507342045,-0.18168167775198105
-0.38751829085035,-0.03811597720425593,-1.8472090142069855,-0.18169076229009556
-0.39675479346678455,-0.039024476440668227,-1.8473005232869109,-0.1816998472824597
-0.4059917534062554,-0.03993302110431371,-1.8473919878941618,-0.18170893272909613
-0.41522917050219194,-0.04084161119746385,-1.8474834191873166,-0.18171801863002762
-0.42446704464850865,-0.041750246722390236,-1.847574829263343,-0.1817271049852769
-0.4337053758026811,-0.04265892768136457,-1.8476662308344844,-0.18173619179486664
-0.44294416398713443,-0.04356765407665866,-1.847757636890665,-0.18174527905881957
-0.45218340928891626,-0.04447642591054445,-1.8478490603563646,-0.18175436677715842
-0.4614231118576714,-0.04538524318529398,-1.8479405137510225,-0.18176345494990592
-0.47066327190198076,-0.0462941059031794,-1.8480320088618782,-0.18177254357708478
-0.47990388968416975,-0.04720301406647299,-1.8481235564377951,-0.18178163265871772
-0.48914496551372977,-0.048111967677447125,-1.8482151659120047,-0.18179072219482745
-0.49838649973953436,-0.049020966738374305,-1.8483068451609153,-0.18179981218543673
-0.50762849274106,-0.04993001125152715,-1.8483986003051367,-0.18180890263056826
-0.5168709449188487,-0.050839101219178374,-1.8484904355577354,-0.18181799353024478
-0.5261138566865274,-0.05174823664360082,-1.848582353535752,-0.181827084884489
-0.535357230622903,-0.05265741752706744,-1.8486747872751157,-0.18183617669332366
-0.544601066751085,-0.053566643871851304,-1.8487672256363976,-0.1818452689567715
-0.5538453650941841,-0.05447591568022558,-1.8488596686198286,-0.18185436167485525
-0.5630901256753124,-0.05538523295446356,-1.84895211622564,-0.18186345484759764
-0.5723353485175827,-0.05629459569683867,-1.8490445684540626,-0.18187254847502138
-0.5815810336441094,-0.05720400390962442,-1.8491370253053279,-0.18188164255714923
-0.5908271810780077,-0.05811345759509444,-1.8492294867796668,-0.1818907370940039
-0.6000737908423942,-0.05902295675552248,-1.8493219528773106,-0.1818998320856082
-0.6093208629603867,-0.0599325013931824,-1.8494144235984906,-0.1819089275319848
-0.6185683974551038,-0.06084209151034818,-1.8495068989434378,-0.18191802343315644
-0.6278163943496657,-0.061751727109293914,-1.8495993789123835,-0.18192711978914589
-0.6370648536671936,-0.0626614081922938,-1.8496918635055588,-0.1819362165999759
-0.6463137727526606,-0.06357113476162214,-1.8497838170934062,-0.18194531386566917
-0.6555631512481297,-0.06448090681955339,-1.849875699093834,-0.18195441158624848
-0.664812988816243,-0.06539072436836207,-1.8499675136226588,-0.18196350976173656
-0.6740632851469499,-0.06630058741032285,-1.850059266141398,-0.18197260839215618
